player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,cluster,Tier
Jerry Lucas,16.2308,15.0846,3.1308,0.4,0.3,2.6348,0.5432,0.5015,0.7742,37.7,896,13,1963-64,1973-74,1970s,0.51,1.0651,107,15.17,,,,,,,,,,,-0.45303470970352006,79,4,5
Vince Carter,16.6,4.2269,2.9885,1.0077,0.5654,1.6462,0.5286,0.4265,0.7863,30.0538,1691,26,1998-99,2019-20,2000s,0.535,0.988,93,17.85,1.223,0.206,1.429,5.644,-1.214,22.46,26.467,-2.53,1.207,20.0,-0.45734653970578937,80,0,4
Hal Greer,18.6467,4.9667,3.9733,1.1663999999999999,0.6007,2.6348,0.5005,0.4491,0.8,34.86,1122,15,1958-59,1972-73,1970s,0.51,0.9814,107,17.43,,,,,,,,,,,-0.48593591118537444,81,0,4
Manu Ginobili,13.15,3.4812,3.7812,1.3,0.3062,1.9875,0.5805,0.4478,0.8226,25.1375,1057,16,2002-03,2017-18,2000s,0.535,1.085,93,14.14,2.399,1.322,3.723,6.05,3.917,21.666,26.542,2.209,1.103,16.0,-0.49630356079547217,82,3,3
Scottie Pippen,15.5235,6.1588,5.1059,1.9,0.7647,2.7,0.5277,0.4618,0.7047,34.2235,1178,17,1987-88,2003-04,2000s,0.535,0.9864,93,16.69,-0.195,0.78,0.58,-2.226,-1.948,18.951,17.91,,,4.0,-0.5027678304986041,83,0,4
Tracy McGrady,17.0706,5.0412,4.1,1.0588,0.7765,1.9706,0.5042,0.4245,0.7334,30.0,968,17,1997-98,2011-12,2000s,0.535,0.9424,93,18.36,3.008,-0.232,2.777,4.583,-2.062,31.415,30.24,,,12.0,-0.5140533990106403,84,0,4
Earl Monroe,17.8933,2.8,3.6133,0.9857,0.2857,1.4667,0.5104,0.4592,0.8075,30.5467,989,15,1967-68,1979-80,1970s,0.51,1.0008,107,16.72,,,,,,,,,,,-0.5142766205300541,85,0,4
Willis Reed,17.59,12.09,1.82,0.6,1.1,2.6348,0.5159,0.4704,0.7469,34.47,650,10,1964-65,1973-74,1970s,0.51,1.0116,107,16.44,,,,,,,,,,,-0.5550310113767272,86,4,5
Lenny Wilkens,16.4667,4.72,6.6133,1.25,0.15,2.6348,0.5072,0.429,0.7693,35.54,1077,15,1960-61,1974-75,1970s,0.51,0.9945,107,15.39,,,,,,,,,,,-0.5605662023516438,87,0,4
Robert Parish,14.2095,8.9762,1.3429,0.7429,1.4429,2.055,0.5637,0.5297,0.7176,27.9143,1611,21,1976-77,1996-97,1980-90s,0.535,1.0536,95,14.96,,,,,,,,,,,-0.5954263853660879,88,3,3
Sam Jones,17.4,4.9,2.5083,1.1663999999999999,0.6007,2.6348,0.4989,0.4535,0.7929,27.475,871,12,1957-58,1968-69,1950-60s,0.48,1.0394,120,14.5,,,,,,,,,,,-0.6577978696281239,89,3,3
